question,answer_text
According passage Conwy Town Walls,built purpose defense
would advertisement probably appear,Internet
1990s sugary drinks many schools,replaced water milk fruit juice
main idea passage,Different people like different things
following measure taken taken improve Beijing air,display show airplanes called
Tom also took spoonful hot mustard,wanted taste mustard
learn passage,street art drawing attention
According text many friends majority people probably,friends fewer certain stage
following true,earth much bigger moon
characteristics genetic,may think differently
gain deep appreciation art works Museum school groups advised,Tour around guided experienced museum stuff member
following statements TRUE according passage,Chen found cave quite accident
best title may,Dogs behave like masters
According passage nowadays robots,examine wreckage nuclear accident
learn Russians regarding sleep,get less sleep public holidays
best title passage,Carnivals around World
Battle Hymn Tiger Mother mainly,Amy Chun experience parenting
seems reader thinks,second type students model
know research,Shy fish losing fights grow confident exploring new food
find Garden Hotel,beach far Nanoko excellent shops
LongPen work,signs book receiving author signature
inferred passage,lifestyle slow city good environment people
According passage want win Intel Science Talent Search must,offer original research
following statements TRUE according passage,teacher good way making lesson clear easy understood
Fagin must,character Oliver Twist
following TRUE,Leo thinks Lisa drawings good
reason people want give birth second child Hong Kong,want calls amendment Hong Kong Basic Law
According passage Houdini success imprison escape depends,unusual ability skeleton key
professor wanted watch monkey,look food
right relation SWISS Lufthansa Austrian Airlines,Austrian Airlines part SWISS
color cup best reduce coffee bitterness without adding sugar,Blue
Babar group middle aged people,important meeting
watches,look things well
following statements TRUE according article,author thinks many Americans eat healthily
learn text,complaining harmful lives
According text carowners participate service,legal ambiguity clarified states
best title passage,Lessons learnt MH370search
following principal topic passage,poverty employment earnings figures agree
writer purpose text,introduce Mollie Hunter work wider audience
passage shows Pontellier happiest,away home leave home
following statements TRUE,Pend Liyuan willing fight AIDS become ambassador
main idea passage,Animals man good friends
following helpful lose weight EXCEPT,polite others
conclude,Frankenstein monster created using different body parts
According Elon Musk trip Mars significant,settlement Mars could save human race extinction
Michelle advises girl,stick attitude towards mother
students want thank,
passage writer wants tell,tips living long healthy life
know author,difficulty getting early
conclude passage,railroad staff New York know courtesy minute
girl want answer boy call,angry
Yemen Government,may try make use seawater
made Armstrong famous around world,first stepped moon
According reading sentence TRUE,ten big groups books system
following statements true,man allow Todd swing another five minutes
problem Health Service,Money enough employ medical workers
best title text,Dreaming Makes Perfect
According article Zidane main characteristics,quiet earth person words
Mothers voice phone reduce children nerves according study,mothers voice promote release love hormone
writer miss station,fell asleep one train
following statements Humphrey true,India honors highly
Leland Stanford make bet friend,Whether horse hooves left ground time running
writer think back home later usual,make telephone call parents
uniformed policeman disappear author got bus,went get car pick author
following true,three people Putin family
story,man first made jeans
learn Gelernter colleagues research,link gene alcoholism
main idea passage,coffee likely prevent diabetes
Reading passage one may,feel encouraged write something
known text,mandrills Colchester Zoo use gesture
Anne work summer resort,helped explore wilderness
According Chinese medicine zheng refers,physical health person
Douglas draw picture,wanted show thanks teacher
author wrote passage,call people learn brave university students
statement included passage,left handers proud
title article,Aztec Society
Joe Wong used example,show cultural differences humor
author mainly want tell passage,people improve self esteem
best title passage,Floods Hit Ancient Town Fenghuang
following mentioned source obtain textbooks,Second hand bookstore centres
According article one child friend,troubles future
Jeanne Calment owes good health long life,good genes parents healthy diet exercises
following TRUE according article,immune system brain system used considered separated isolated system
following benefit good listener,Allow leader put ideas practice easily
may good memory learn better,good sleep
pay money,Magic Kingdom Club Gold Card holder
following statements true,consumers hold view bargain buying something
fish swim water Green answer,fish walk land
main purpose passage,call people help need help
Beijing 105 Middle School mentioned passage,give example showing mental problems dealt
know exhibit passage,includes famous buildings world
argument whether ski teachers allowed take part Winter Games ended,war broke stopped Games
main purpose passage,attract people camps
author feel restless upset night,felt guilty mind helping old man
passage mainly,Warner Brothers expanded partnership Harry Potter author
According passage obesity directly linked,sugar sweetened soft drinks
Frank said seeing score want outside shoot meant say,shamed remain inside face captain members
author purpose writing passage,get people buy magazines
author try tell,kind others regardless behavior
learn text,life hard young family
said Mayan people lived better life people time,studied nature world around
Charlotte man charged,caused old woman terror died
McDermott would probably agree,Chinese Japanese different music preferences
reasons people start keep dieting include,alcoholic parent
bookA View Zootalk,new born giraffe first lesson
author 007 novels,Ian Fleming
Judging test following true,test result offers new means understand variability brain function individuals
mainly talked passage,Unlocking genetic code
advantage chocolate printer,user build shape like via computer instructions
learn text,Electric currents decide movements maglev train
numbers used pick safe password,safe password unlikely guessed
father remembered love daughter,taking imaginary kiss box
time newspaper,news passed one person another
first bring cat home,Buy cat house cat furniture
know Isaak Babel comment,book helps readers make sense history
passage tries tell,handwriting great importance
passage learn,anger less contagious friendliness
According passage India something expensive useless called,white elephant
According Hume works art exist centuries,appeal unchanging features human nature
best title passage,Chinese government confident controlling price rise
news story know ecopassage,pass animals cross road
According passage submarine,dive depth 500 meters
would best title passage,Google Privacy Policy Changed
Tommy Lee invention unbreakable umbrella,inspired story behind windshield wiper
Bill change habit,feel unhappy
mother son went police station,return money truck
According passage following statements TRUE,half teenagers Internet access
helpful enjoy learning English,worry making mistakes
learned Jerome Valcke,appreciates Brazilian music
following would best title text,Enjoy Believe Everything
purpose George Spilich experiments,test whether smoking positive effect mental capacity smokers
According passage following true,polite dye hair everyone
example grocery store used illustrate,little influence language barrier
Nick best quality,good listener
Learning Center learn,get along well others
discipline leader supposed,make sure nobody chats class
following true,buyers know materials buying
Ellen lived kind hut three years,trying get financial support race
learn text young men joining gold rush,faced threat wild animals
following TRUE according passage,Earthquake caused tsunami resulted hundreds deaths disastrous damage
following best title text,Interesting hobbies
passage mainly tells,find happiness
following statements Andy Warhol probably agree,something every day
writer opinion,Notice appreciate going daily life
following statements true father,paid much attention school marks
animals Yala die tsunamis caused huge number human deaths hit,animals might picked danger signals ran away
return Rick,changed much
Keith shouts because,tired riddles told
special feature Fiji,surfing enthusiasts favorite island country
According passage know cultural relativism,relates artistic values local conditions
following statements TRUE according passage,Right handed people work best right side bodies
following statements would author probably agree,High schools require community service hours
author opinion value person life,leave precious memory loves cares
suitable title text,Micro homes Tiny
inferred passage Holiday,famous voice way singing
purpose article,introduce kind orange glasses may help people sleep better
Cody said learn children,foresaw father would
find new words reading would better,stop look dictionary
Peter wigs expensive,handmade using human hair
best title passage,world oldest message floating bottle
Paul Marshall words infer,Lovci deserved award
According passage want admitted famous university,write name see every day
adding prefix suffix root get word,different meaning
Lin Lina plans send daughter Australia,learned environment education Australia good
Susan makes money,drawing pictures others
main reason new round popularity China,Came Star
saying Salt Lake City Public Library sold idea writer means library,accepts idea put forward ITA
sense humour,people may appear trustworthy cooperative
According latest study know older dads likely,grandchildren longer telomeres
following statements country music TRUE according passage,Country music comes South American songs
text written mainly,tell readers raise rabbits
would best title passage,Three Wishes Alexander
Mary Jane Cera believes,learning develop creativity
passage mainly talk,Different opinions ways parenting
passage see Kewen Lichadson,trusted animals human beings
word passage means,picture phone
suitable title passage,Hugs Healing Power
following TRUE piracy,Back mid 20th century pirates appear harmful today
following subjects passage mainly concerned,effect mass transportation urban expansion
many people flood California 1848,wanted get rich looking gold
sort underground systems already place,Tunnels car parks shopping areas
interested knowing people life may visit,Future Tower
purpose writing passage,introduce benefits going camp
Daniel Skip saved lives two kids,strangers accident
Many people enjoy running want,keep healthy
following best title passage,hero ship
inferred passage,Oasis Seas built well far
following statements microwave heaters would Buffler probably agree,Perhaps microwave heaters first used livestock farmers wish protect lambs winter
Early 1910s Harold brother,shipped dolls abroad
plants sent signals,Backster destroyed plants living things
author indicate quoting America Health Problem Para,meant introduce topic stress
computer system describe characters story,Characters story given different numerical values
purpose author use example Hold Back Dawn,show Wilder different directing style
Sam asked John break leg order,let John get away war
high sky want balloon,make air inside balloon cooler
Lesa author formed organization,help cancer patients
Choose best title passage,power nature
good study habits must,try learn
first heard say thought,Englishman interested English studies
Canada charity organization possibly take unwanted electronics,TechSoup
Usually English people shake hands,meet say goodbye
According experts human willpower,weakened stressful cognitive emotional tasks
Teachers different opinions,role spelling general language development
end English traveler,learned meals ship free
According article many people holiday,Two thirds
main idea passage,life governed law time
whole passage mainly,art museum called Louvre
book would read want know gravity,Time Space Uncle Albert
schoolbag,much lighter usual schoolbag
infer passage,tradition sending presents pass generation generation
court force Isaac Singer pay Elias Howe lifetime royalties,Howe already patented lockstitch used Singer
intelligence scores used following way EXCEPT,selecting pupils public secondary schools
Americans,1ike home cooked meals
author opinion,success habit easy keep
following inferred passage,writer realized write wife regularly
People live,low high
passage mainly,popular toy Teddy Bear
following true Anthony,places emphasis characters behavior stories
people failed beekeeping businesses,many bees disappeared reason
following true American Gothic,show Art Institute Chicago 1930
happen Agassi 1999,million
take good care eyes,even see well
author missed first chance help two women,left coffee shop immediately
main purpose passage,ask people work together school bullying
New rules pubs clubs introduced Britain ban heavy drinking,drinking country costs much
better buy,wine famous vineyards
boy taken seaside swim,sea water would stop bad smell nose
possible benefit reading classic works according study,inspires regular readers think box
following TRUE according passage,young man earned living skills learnt young
man friends relatives,funeral
infer passage,touch anxiety positive effect
advice given writer passage focuses,make house safe burglars
title passage,English development
Chicago Transit Authority card,senior citizens pay half fare bus ride
people move new country,get used new life certain difficulty
people killed Death Valley,extremely hot summer dangerously cold winter
following information True according text,GWANGJU South Korean city history 000 years
writer use think father,think father loved
contributed rapid economic growth China India,Free market plus government intervention
author used Tate Modern example demonstrate,small talk help feel connected surroundings
lock front door one,could opened inside without key
suggested passage might happen end,strangers would hear old man story
Children advised,speak strangers
think sign written man,meaning first sign expressed another better way
passage draw conclusion want keep healthy,eat properly
girls planning little prank,expect would wrong
want check hotel three clock morning stay,Aava Whistler Hotel
butcher surprised saw dog,dog supposed come shop alone
main idea article,done done rescue people disaster
statements TRUE according two officials interviewed,search missing jet continue
According author make exercise interesting,taking varied exercise
point writer make decorating objects,something people always done
text must taken,entertainment magazine
England interesting,sit second floor big bus see beautiful city
purpose holding Festival Muslim Cultures,try change beliefs various religions
inferred passage,Londoners happy see wild animals return city
good wolf things story,tries get well others
following food enzyme,Uncooked seaweed
known Liu Xiaoyu mother,could help crying saw film
best title passage may,Smart Home Cameras
following TRUE according passage,Carbon monoxide stops blood carrying oxygen body tissues
would best title passage,young man saved baby car crash
following true Ben,achieved something unusual age
following statements TRUE according passage,One night writer forgot lock front door
following TRUE Cisneros childhood,felt nobody
best title passage,New York plans ban sale big sizes sugary drinks
Space junk created,unused spacecraft hit
author used Viestures words Paragraph support view,mountains regarded living creatures
According Shigeto Yamada growth geothermal power Japan needs,change rules
passage written mainly,attract people take tour London
best title text,drone helps save rhinos South Africa
disadvantage scolding cheating students according passage,may hurt mentally
learn passage,man become friendly
author wants express idea,good memory mean good intelligence
following TRUE according passage,Han Han blog popular Internet
According text technology,history nearly 200 years
following TRUE,radio announcer jobs writer hometown
good way learn English,Sitting bedroom remember words
infer text,handicapped children school poor families
writer probably created character Watson,get readers see mystery step step
According passage dairies,increasing use plastic bottles
key reason Liu Qian decided make magic career,could find decent job graduation
news report mainly,new outbreak H7N9 bird flu
author implies seeing stereo,ability humans fortunate
best title text,Come take space walk
writer give example earthquake happened Haiti,show people living vulnerable buildings people die earthquake
According author GONE WIND,best seller
following ways strengthen one willpower EXCEPT,forcing oneself thing day
learn text,Changing means changing others
According passage following TRUE,James Bond film popular age feminism
Several hundred people give money zoo help Brocky,food expensive one person afford
author seems support idea,specific reasons friendship
following reason wildlife returning cities,Wildlife appreciated cities
learn passage,grass Sydney parks moved bridge
best title passage,people travel
following TRUE according passage,Quite students discouraged music art today school system
children self publish works according last part,achieve dreams
use mall directory,shows places mall
Brown daughter thinks,something wrong
true,tutor get 260 teaches kid two weekends
many people believe angels fly,Angels wings take messages heaven therefore fly
owner wife wanted,get man bag
According passage keep baby safe following things EXCEPT,leaving baby alone pet first day meet
Joel Cohen view secondary education,change people parenting ideas
Starbucks App,view current offers
According article koalas kangaroos alike,carry young pocket
Bookcrossers people,release books public places purpose
following true,Tigers like hunt food small groups
text mainly,Human navigational skills
soldier response author father kindness,said thanks author dad person
inferred passage,less forty million elephants living earth
following reason women larger share jobs,economic recession affected men women
communicating children parents advised,use tone voice match children feelings
passage mainly talk,hut village Valley Kings
main idea text,rare butterfly appeared Britain
happened plane,flying high altitude going missing
following statements TRUE meteor fell Earth Russia,fell Earth caused great damage local community
statement movies true,Brave princess obeys heart
message author wants deliver passage formal teaching,started early
bird catcher came back tortoise wanted,get tortoise
author mentions Indian fakir shows,people learn cope pain
following true,Take offs safer non stop flights landings
Pick true statements according passage,drawings Wherever convey love pictures involving animals
passage,plan travel
article writer mainly wants,teach importance great generosity politeness others
learn Linda Henkel study,People photographed objects worse recognizing
probably happen bus driver,allowed drive bus
dug land sons found,nothing
time man forty,using less new slang speech writing
Bae experienced tells,express well American students
know Meryl,enjoyed musical Mamma Mial greatly
talked passage,materials sport shoes
author write text,ask parents communicate children
spouse wants talk busy,decide according situation
speaking English foreigner seems,difficulty expressing clearly
early childhood teacher said suggests,used believe expect much disabled people
author holds belief,achieve anything life without self discipline
want add work visit may choose,World Largest Ball Paint
dancing jumping yell,cheerleaders
passage author wants tell,teenagers try pursue real selves
purpose writing passage,introduce two traditional festivals
could researchers find dogs understood woman intention,reading eye movements
Traditional businessmen feel upset,growing online sales cut share market
know Momotaro passage,Monotaro really lazy boy
author wrote passage,express idea baseball America number one sport
following TRUE,Laura often works long time every day
one author attitude towards planting basil,good way save 200 year
following true,Prior angry thought painter work hard
According researchers teenage mothers tend less bright children,waist hip measurements differ less
Many teenagers pictures football stars,
short passage infer,high school hold activities students every year like homecoming
following true according passage,bed right take hot bath
According James Brown following types person likely pickpocketed,People absent minded
learn text,700 workers surveyed shared secret worker
passage learn author,felt helpless mother surprise trips
purpose article,tell people new discovery
many African Americans write blogs,Michelle wife mother White House
Morning Challenge campaign aimed,reducing carbon dioxide emission home
writer opinion,want get things wrong important good listener
Could thief find money,could
author experienced following EXCEPT,asking scholars advice sleeping habits
made Rowling accept Warner Brothers proposal,unwillingness see others write story
statement true according passage,Joey came Albert care Ted paid lot money
purpose starting Kids Cafe,provide poor children nutritious food
main idea story,PlayPump great invention world
nurses study many years doctors,treat patients illness injury
moved author according text,mother made efforts comfort daughter
People say,Prince George fell love KItty Wake Foulsham House
word photo example show,sometimes new words shorter forms older words
Picking round shape chocolate shows person,likes singing dancing drinking
else together every day,Play piano
Abraham Lincoln chosen America greatest president mainly,led people end slavery united nation
infer passage,people eating habit much effect family
kind dogs likely suffer nasal cancer,Long nosed dogs
According writer,people many countries like fast food
Nowadays thank cards seem rare mainly,Internet reduced chances getting together
best title passage,Whether celebrate Christmas Day
writer tells story show,even small help great
following help enjoy sailing boat,Visit thStreet Boat Company
Black owns two buildings interested green roofing system probably,save spending lot money energy
nobleman take farmer son give good education,nobleman wanted pay back farmer saving son
want postman necessary,driver license
passage written,offer readers information Charles Dickens Museum
YOU officials agree make effort reduce greenhouse gases,fear would affect economy
suggestion writer give walking,Starters push hard
One serious influence heavy smog,flights airport cancelled
know school principal phone call,Birthday parties usually allowed school
One day Sally sad,could see grandmother
passage know Northeast Tigers,tigers climb trees
Stonehenge recently believed place people,recover poor health
puzzled Fern beginning,father would
following reason writer favors minimalism life,helps realize true life
best title passage,Buy Nothing Day
ancient Greece people cut olive tree,heavily punished
following true study findings,participants tell reasons judgments
inferred text,long work hours hard British parents balance life work
following best title passage,expensive Christmas tree ever
first part learn Marilyn Arnold,knows children education
success,decided return school left
interested guided horseback tour,contact Skipper Equestrian Center
author mention Superstorm Sandy,attract readers interest backups
According author life learning,could road full trials errors
Polar Bears like swim year round,find enjoyable interesting
pupil Premium free school meal scheme mentioned order show,many efforts made provide good free meal
recently historians believed trade along Silk Road,originated 2nd century
following WRONG,writer agree eagle dad educating method
Chinese used lack self confidence,deeply influenced dark history
According passage China food industry problem faking cheating,punishment unscrupulous businessmen serious enough
kind pet Simon keep,None
following aspects study require face face interaction teachers students,Providing answers clear cut questions
best title text might,Home schooling Growing Trend
text mainly,new Christmas special
would best title passage,unforgettable classroom activity
special Lake Van,water high salt
main idea passage,Speaking English English classes
following fascination works,could use xieyiand thegongbistyles painting
population increasing fast partly,couples would like children
10thschool year may,choose different classes based choice abilities
following could best title article,Renewal snakes
following might best title passage,Different Feelings
problem Elisa Cohen twins writing book report,given much thinking read
Ahern sea turtle patrol early morning,find tracks left sea turtles
trend parent child relationship mentioned passage,generation gap narrowing parents respecting children thoughts
good friends make good friend,kind patient
article mainly talks,roller skating big cities
Whose conducting ASIMO made copy,Charles Burke
Miss Baldwin experience shows,language changes passage time
one strings suddenly broke would ordinary player,would play another violin
author left barber shop mainly,lacked courage tell intention
tree mention grasshopper,show weak grass
best title passage,Earth Hour small steps big difference
According passage world,becoming crowded
According writer bad effects computers avoided,sound knowledge computer systems
Zhang Qian father Dragon Boat Festival,watches boat race
Humboldt friend made maps,northern part South America
best title text could,Adventures could everywhere
White drove fast,afraid late
Ben rush help Mrs Tailor,thought could tricking
passage mainly tells,something interesting tea
following purpose journey,win race water
teacher work effective schoolboy,boy alone
Reduce rule mainly requires,use things wisely
following sentences true according passage,raised purchase price encourage farmers grow rice
According critics rent control,bring negative effects long run
main idea passage,lighten students backpacks
mother law leave author,canned jars filled jelly
something urgent,driving probably best way
reading passage conclude,blind people affected colors
successful applicant job,write reports analyse overall bathing experience
particular American schools,lot school activities
following TRUE Gordon Brown,good job improve national economy
aim write passage,give advice behave work
Pop shops first appeared mainly,economy well
Zhang Ning put computer games bag,would like mother find
real meaning instructions tin,put tin hot water warm
inferred,private loans play important role financing students education
passage mainly,girl beaten nearly death
best title passage may,Exploring Possibility Clone Pandas
position head human resource management American firm,say making important decisions firm
studying abroad widen view students,meet make friends people around world
experience Harriet Tubman learn,running away plantation dangerous journey
state zoophobia animals,behave strangely
following statements TRUE according passage,park view rooms Dandy Hotel make quite unique
plan never carried,electric power important country
following True according paasage,grow need strong minded independent
According passage may result addictive shopping,awareness market forces work
following statements true foods,foods affect people immune system
According passage,Aunty fond animals like cats
CPPCC meetings Guo proposal,handed Ministry Education
following best title passage,Energy Drinks
story know Christmas Day children feel happy receive,presents
live ocean,travel work sea
following TRUE,writer mother
407 WDW DINE,make reservations meals park
Metro rail drivers Paris must,keep train schedule strictly
best title passage,Give medal Woman saves family members Ebola
text mainly,celebrity divorce aroused netizens interest
Sanbonmatsu colleagues conducted research,assessed multitasking ability students
Jack read newspaper,made telephone call
purpose activity,draw interest writing letters
Mary ran old man,saw old man difficulty moving taking seat
Another benefit Watch schemes,new community spirit growing
passage mainly something,made clear understood
good way,work hard days exam
following sentences right,Bill happy looks picture baby
According passage,one born color1 preference
would best title text,Present future daughter law
According Abe several things contribute rising child poverty except,expansion three generation households
following sentences true,Mrs Blake teaches inner area big city east United States
man made many things right order,light pot bread canoe clothes
teacher think Tom hears Tom last words,knows Tom telling lie
best describe bridegroom,accepted intended marriage arranged without knowledge
infer passage,Matt loved money wife
best title passage,unusual dog
see tigers wolves night,Night Safari Singapore
right,Blaise saved boy
passage learn Eric never seen,pillow
learned letter written,beginning new school year
best title passage,Kind Person Friend
passage say AIDS deadly disease,
best title passage,Forgotten Cities
author opinion good company consist,talented common people
text mainly,introduction Universal Robots new robots
writer main purpose,explain Horton good place live
best title passage,Mother Desk
following would best title passage,Father modern biology Charles Darwin
informed done father,let author make call Burke
learn Orange Monarch butterflies,good hiding enemies
northeast Brazil became rich,black slave hard work
man main source comfort several months disease,belief humanity
statement TRUE,schools reduced physical education programs
Japanese researchers created population clock order,let Japanese give special importance population problems
Every dog day means,Everybody time life lucky
reason Obama win election,war tried improve economy
infer past years American farmers,increased corn production
happened Valderzak Tuesday earthquake,regained hearing
made wool,Paul new trousers
China self motivated fight climate change order,transform economic pattern
text mainly written,teachers
following TRUE,book facilities telephone
passage know boys raising money,first plant tree memory friend
following true according passage,asks give one answer would better write
different colors recreated Moma Lisa created,adding different amounts milk cup black coffee
best title passage,Learning help computers
best title passage,Poor Suffer High Food Prices
story airline pilot tells,writer worried future society
Many children people like Mickey Mouse,always many interesting things
first inspired Mother Teresa work India,medical worker letters school
best tittle passage,Student Credit Cards Need Know
would get father fortune,cleverest son
old man ask previous riders ride,assumed concern
get past receptionist better,make phone call less experienced staff member
author mean mentioned loose windows shallow fireplace,missed feelings home
market,people know star sometimes
concluded passage,Students balance part time work well things
Jillian Samantha believe,global warming threatens animals survival
advice given teacher Caracas students,Washing hair quite often
following true,author single eats meats
reason lions normally prey people,mentioned passage
sales watches young people fallen,devices tell time
following true,One lot work keep picture mind forever
author family grateful know man,taught accept bad without complaint
fox could come back,tree flew away
would see notice,bedroom large hotel
surprises today digital age makes people realize,importance use paper
many Starbucks close small areas,style coffee stores seems
learn text museums,gift shop visitors
main idea story,Japanese use seaweed many ways
learn passage,computers help children lot
tourist wants enjoy Beijing Opera,Liyuan Theatre evening
passage writer mainly tells,McGrady offered help African children
following TRUE according passage,general leading financial companies prefer casual clothing
seventh grade team leader author school called meeting,talk giving students poorly second chance redo work
author primary purpose writing passage,convince reader uniforms disadvantages advantages
measures taken protect wildlife APF,bought large land farmers bison live
neighbour heard told judge,cow killed judge
Many school districts raised lunch prices,cost food gone
know passage David would,bright future
man worried sons,knew good bad things life
passage tells,possible results government controls
inferred passage research,driver preferred music increased mood ratings
According passage following may something nice,long conversation new neighbour
writing passage writer mainly wants,better impression snakes
accident happened writer dad infer,necessary cyclists wear helmets
People character snail would like,live luxury life costs
purpose National Want Play Music Week,call people pay attention music education
question reporter ask interview,keep passengers safe
story mainly suggest,helpful businessmen learn customers thoughts
learn High Line text,part line remains
example Handwriting Without Tears helps argue,take much teach better handwriting skills
following statements Wagner works TRUE,works started new tradition
statement following true according passage,entire family enjoys reading Styles section local newspaper
following may concluded passage,Sleep restrictions may contribute disease like diabetes insomnia heart disease
recycling,reuse anything used
text probably taken,web page Icelandic tour
author say oil trade,improves economic efficiency
couple take daughters Britain,assist get benefit travelling
following statements TRUE according passage,Camera cellphones megapixel units appear soon
infer end passage,still lot learn writing good poems
writer began play violin thought,would get trouble
best title article,Say pirated Music
passage said,fourth largest organic farming country
book Moved Cheese wants teach,face changes
Marilyn Monroe words mentioned tell,needed friends
story learn,forgiveness sometimes better punishment
Sue call painting masterpiece Old Behrman,perfect saved Joann life end
mime first contact lion,win back audience
purpose writing article,offer tips making choices
following reasons immigration mentioned passage,Studying foreign language
consumer psychology mentioned passage,Getting something extra free better getting less
elephant family,females sometimes young males
missing dollar,missing dollar
article written,question social practice
saying Benjamin Franklin things hurt instruct suggests,pain teaches important lessons
following statements TRUE,monarch butterfly viceroy close relatives
According passage statements true,One person infected staying H7N9 patients
Flakes island Biggarenn,spend special vacation
good,get useful information need
surprised manager,Briggs sold insurance people
would best title passage,Tourism Volunteer Program
Anna happy new flat,room
TRUE Framingham Study,involves 000 participants
must careful bus,may wrong way
Wrapped big plastic bag Plastic Bag3,still harm environment
Dave problem,want eat winning team
may Dickens really want imply readers,love settle problems people
Living together,members allowed break rules make together
following pain neck,Someone throws trash car window highway
woman leave Lang,love longer
According Singer,electronic toys prevent children keeping touch real world
author mother influence grew,author busy something kind
passage mainly,first American orbit earth
passage wants tell,like others without asking
passage mainly tells,different choices may show different characters
According article 2012 Olympics royal wedding,increased British sense national identity
become professional vacation consultant,given interview employment
following discussed passage,space traveling made possible
activity,students learned life hard
writer ask father okay,wanted know fine
best title passage,Gift Life
Upon receiving letters two daughters,complained usual
learn passages,flooding sandbags made used build wall
main purpose passage,help consumers make environmentally sustainable choices
learn text Kudzu Virginia,big trouble
leave big dinner eat,small low fat foods
following true recent discovery,planet proves gas planet
following statements true according passage,half teachers doctors smokers China
Winton called British Schindler,rescued 669 children Second World War
author feels ashamed,making good use time mother
Prof Petford belief according text,Good universities charge students tuition fees
following facts show shoes important EXCEPT,cure diseases caught soil
scientists mean saying far soon declare handwriting important,Handwriting ignored present
main idea text,love father son
made Louis Armstrong become best jazz musician,talent hard work
passage mainly talking,infants education
passage mainly,top goal ending world poverty possibly achieved 2030
passage mainly,nametags track students
Many directors playwrights find jobs,market promising get paid poorly
writer suggest people passage,writer advises adults get least six seven hours shut eye night stay healthy
boy bad day begin,morning
Rodd Todd told elves,little time Santa Claus
Mrs Green likes necklace child name,may make child close heart
inferred passage,enjoying sunshine may help people cheer
Bassam Rady,Iraqi
You want activity one evening week get certificate end,Sailing Club
infer text,several kinds land living bears world
following conveyed passage,hold new technology last
Robert Reich decide resign,wanted spend time family
Youth Human Rights International paying attention education,children know little rights easily cheated
best example make full use time,Devoting efforts work moment
According Gray people enter elevator usually,try keep distance people
Jack laughed,wanted show nothing wrong ears
passage tells children curious,four years old
Paul Zindel honored Margaret Edwards Prize,made great contributions contemporary literature
author leave public school,take steps back order relearn basic things another school
leaders decided ask old man leave thought,work unnecessary
author mentions choosing babysitter tell,choose programs kids
man knows judo,help using person body
true popularity Gangnam Style,makes people amused removes emotional guards
new comer friend,talk friendly way
RSPB believes valuable children,exposed natural world
following sentences true,Rose hair long
According passage following statements TRUE,Asimov still many readers China
true protecting infected animal influenza viruses,try eat much sleep much possible
Carol Harvey suggests cyclists,asked ride lanes
make first trial magazine,1920
following true,death Cao mother influenced Cao lot
learn crawling according Kevin Dean,ankles stronger wrists
doctor said meant,young Jessica would remember long
increase chance winning scholarship advised,similar interview help prepare real one
old man hold Marine hand night,dying mistook son
According passage following statements TRUE,mentioned tea culture emphasize importance agriculture friendship
one says dance glass water head know,good dancer
text mainly concerned,Celebrations Chinese culture held Sydney
woman telling story went town,shopping family
passage mainly tells,love means children
tested students,primary high schools districts
writer opinion workplace etiquette,helpful work well
following TRUE according passage,writer came first Science English exams
following places longest history,Tower London
following true Christopher Thomas,positive attitude disease
problem writer talks,people afraid speak rights
new type phone reduce harm environment mainly,material cover
measure taken IIT Mumbai,Internet access unavailable deep night
infer Chen said,Polluters severely inspected punished
passage know,Eliza going test
passage mainly discusses development,chocolate candies
conclude passage,rumors caused panic among people
statement compared Last change monkeys apes apes humans,use intelligent robots everyday housework
Alex Lemonade Stand began,Alex four years old
best title passage,Secret Long Life
following factors mentioned health problems among netizens EXCEPT,shopping online
writer passage probably,American works China
concluded text,children musically trained remember things better untrained
following true according passage,Snake robots reduce patients medical costs
following best expresses main ideas passage,Importance Webs Spiders
former Happy Meal includes,750 calories
would best title passage,dog makes seriously sick dad smile
According passage certain kinds land use parking lots may,original inhabitants move away area
old man rich man saw,ready plant fig tree
one true,moment open eyes light book travels eyes
started exploring,served navy
following statements TRUE sightseeing London Pass,One choose Travel card suits transport attractions London
learned text,half watermelons fermentable alcohol provide energy
following right according passage,Mrs Cobell used swim well
passage learn Jasmine father,thought daughter dead back shore
Robert listened carefully wanted know,parents went sleep
Albert father secretly sell Joey,need money
inferred passage,without gadgets people may feel pressure telling white lies
company decide make diamonds Beethoven hair,show latest technology
best title,terrible day
man committed evil crime,angry long time father law
According passage learn,astronauts moon agree back
know passage juveniles sparrows,still lack internal map
contributed successful career,sharp hearing
factors telling best place born include,pollution
According Para Para following statements inferred,one survey done
best title passage,Learning mistakes
author took AskRomeo True Life Partners examples,show companies help expand dating industry
Philippe Croizon crossing seas joining five continents,ended Bering Strait
may eventually settle last mile problem,rapid progress cell phone technology
Chinese netizens created English words,combining pinyin Chinese characters English suffix
author feel started read letter,full joy
passage mainly tells,Eadweard Muybridge got pictures motion successfully
plays key role counting number hairs software,scanner
passage leads belief,animals experience emotions
green coloring use make food plant,Air sunshine water
best title text could,Expensive Church Visit
telling experiences author tries show,importance expressing thanks
following TRUE,Germs everywhere around
According passage following TRUE,older man advice influenced Paul greatly
What Douthett think dog,clever brave
inferred result new classroom rule,Students got along better
writer advice healthy snacks,Eating necessary
sign street corner,drivers
writer could see everything clearly window,writer window dirty
agricultural aid farmers,promote production crops
timely rain,crops fields grow better
boy goes buy hamburgers,umbrella
infer text,rain forests beneficial entire world
writer thinks,car say anything owner
